primaryName,nb,total,poidsMovie,score,type
Casper Van Dien,35.0,70.0,50.0,0.0,movie
Blythe Danner,31.0,62.0,50.0,0.0,movie
Peter Lohmeyer,31.0,62.0,50.0,0.0,movie
Péter Andorai,31.0,62.0,50.0,0.0,movie
Christiane Paul,30.0,60.0,50.0,0.0,movie
Helmut Griem,26.0,52.0,50.0,0.0,movie
Clancy Brown,25.0,50.0,50.0,0.0,movie
Angie Dickinson,24.0,48.0,50.0,0.0,movie
Robert Culp,23.0,46.0,50.0,0.0,movie
Magda Vásáryová,22.0,44.0,50.0,0.0,movie
Georges Wilson,21.0,42.0,50.0,0.0,movie
Ossie Davis,21.0,42.0,50.0,0.0,movie
Teri Polo,21.0,42.0,50.0,0.0,movie
Udo Samel,21.0,42.0,50.0,0.0,movie
Shelley Long,20.0,40.0,50.0,0.0,movie
Stefan Kurt,20.0,40.0,50.0,0.0,movie
Toshirô Yanagiba,20.0,40.0,50.0,0.0,movie
Anouk Ferjac,19.0,38.0,50.0,0.0,movie
Max Gail,19.0,38.0,50.0,0.0,movie
Sieghardt Rupp,19.0,38.0,50.0,0.0,movie
Casper Van Dien,35.0,70.0,50.0,0.0,tvMovie
Blythe Danner,31.0,62.0,50.0,0.0,tvMovie
Peter Lohmeyer,31.0,62.0,50.0,0.0,tvMovie
Péter Andorai,31.0,62.0,50.0,0.0,tvMovie
Christiane Paul,30.0,60.0,50.0,0.0,tvMovie
Helmut Griem,26.0,52.0,50.0,0.0,tvMovie
Clancy Brown,25.0,50.0,50.0,0.0,tvMovie
Angie Dickinson,24.0,48.0,50.0,0.0,tvMovie
Robert Culp,23.0,46.0,50.0,0.0,tvMovie
Magda Vásáryová,22.0,44.0,50.0,0.0,tvMovie
Georges Wilson,21.0,42.0,50.0,0.0,tvMovie
Ossie Davis,21.0,42.0,50.0,0.0,tvMovie
Teri Polo,21.0,42.0,50.0,0.0,tvMovie
Udo Samel,21.0,42.0,50.0,0.0,tvMovie
Shelley Long,20.0,40.0,50.0,0.0,tvMovie
Stefan Kurt,20.0,40.0,50.0,0.0,tvMovie
Toshirô Yanagiba,20.0,40.0,50.0,0.0,tvMovie
Anouk Ferjac,19.0,38.0,50.0,0.0,tvMovie
Max Gail,19.0,38.0,50.0,0.0,tvMovie
Sieghardt Rupp,19.0,38.0,50.0,0.0,tvMovie
