primaryName,nb,total,poidsMovie,score,type
Brahmanandam,792.0,792.0,100.0,50.0,movie
Adoor Bhasi,582.0,582.0,100.0,50.0,movie
Sultan Rahi,440.0,440.0,100.0,50.0,movie
Masayoshi Nogami,413.0,413.0,100.0,50.0,movie
Sung-il Shin,405.0,405.0,100.0,50.0,movie
Paquito Diaz,390.0,392.0,99.48979591836735,49.48979591836735,movie
Aachi Manorama,363.0,363.0,100.0,50.0,movie
Mammootty,351.0,351.0,100.0,50.0,movie
Mohanlal,343.0,343.0,100.0,50.0,movie
Prem Nazir,328.0,328.0,100.0,50.0,movie
Mithun Chakraborty,325.0,326.0,99.69325153374233,49.69325153374233,movie
George Estregan,316.0,316.0,100.0,50.0,movie
Nagesh,312.0,312.0,100.0,50.0,movie
Shakti Kapoor,311.0,311.0,100.0,50.0,movie
Cüneyt Arkin,298.0,300.0,99.33333333333333,49.33333333333333,movie
Jayabharati,293.0,293.0,100.0,50.0,movie
Tom Byron,291.0,291.0,100.0,50.0,movie
Ron Jeremy,286.0,288.0,99.30555555555556,49.30555555555556,movie
Jagathi Sreekumar,276.0,276.0,100.0,50.0,movie
Seiji Nakamitsu,276.0,276.0,100.0,50.0,movie
Brahmanandam,0.0,792.0,100.0,50.0,tvMovie
Adoor Bhasi,0.0,582.0,100.0,50.0,tvMovie
Sultan Rahi,0.0,440.0,100.0,50.0,tvMovie
Masayoshi Nogami,0.0,413.0,100.0,50.0,tvMovie
Sung-il Shin,0.0,405.0,100.0,50.0,tvMovie
Paquito Diaz,2.0,392.0,99.48979591836735,49.48979591836735,tvMovie
Aachi Manorama,0.0,363.0,100.0,50.0,tvMovie
Mammootty,0.0,351.0,100.0,50.0,tvMovie
Mohanlal,0.0,343.0,100.0,50.0,tvMovie
Prem Nazir,0.0,328.0,100.0,50.0,tvMovie
Mithun Chakraborty,1.0,326.0,99.69325153374233,49.69325153374233,tvMovie
George Estregan,0.0,316.0,100.0,50.0,tvMovie
Nagesh,0.0,312.0,100.0,50.0,tvMovie
Shakti Kapoor,0.0,311.0,100.0,50.0,tvMovie
Cüneyt Arkin,2.0,300.0,99.33333333333333,49.33333333333333,tvMovie
Jayabharati,0.0,293.0,100.0,50.0,tvMovie
Tom Byron,0.0,291.0,100.0,50.0,tvMovie
Ron Jeremy,2.0,288.0,99.30555555555556,49.30555555555556,tvMovie
Jagathi Sreekumar,0.0,276.0,100.0,50.0,tvMovie
Seiji Nakamitsu,0.0,276.0,100.0,50.0,tvMovie
