primaryName,nb,total,poidsMovie,score,type
Luís Cerqueira,3.0,105.0,2.857142857142857,47.142857142857146,movie
Viktor Preiss,12.0,108.0,11.11111111111111,38.888888888888886,movie
Petr Kostka,22.0,117.0,18.803418803418804,31.196581196581196,movie
Jirina Bohdalová,35.0,127.0,27.559055118110237,22.440944881889763,movie
Momiji Yamamura,0.0,88.0,0.0,50.0,movie
Peter Sattmann,6.0,90.0,6.666666666666667,43.333333333333336,movie
Hannelore Elsner,56.0,134.0,41.7910447761194,8.2089552238806,movie
Ruy de Carvalho,14.0,92.0,15.217391304347828,34.78260869565217,movie
Milos Kopecký,34.0,111.0,30.630630630630627,19.369369369369373,movie
Christine Neubauer,8.0,85.0,9.411764705882353,40.588235294117645,movie
Iva Janzurová,48.0,125.0,38.4,11.600000000000001,movie
Yôko Moriguchi,4.0,80.0,5.0,45.0,movie
Günther Maria Halmer,15.0,91.0,16.483516483516482,33.51648351648352,movie
Tsunehiko Watase,78.0,153.0,50.98039215686274,0.9803921568627416,movie
Herbert Köfer,3.0,78.0,3.8461538461538463,46.15384615384615,movie
Pierre Arditi,54.0,128.0,42.1875,7.8125,movie
Petar Kralj,13.0,86.0,15.11627906976744,34.883720930232556,movie
Friedrich von Thun,14.0,87.0,16.091954022988507,33.9080459770115,movie
Leopold Haverl,8.0,80.0,10.0,40.0,movie
Josef Abrhám,37.0,108.0,34.25925925925926,15.74074074074074,movie
Luís Cerqueira,102.0,105.0,2.857142857142857,47.142857142857146,tvMovie
Viktor Preiss,96.0,108.0,11.11111111111111,38.888888888888886,tvMovie
Petr Kostka,95.0,117.0,18.803418803418804,31.196581196581196,tvMovie
Jirina Bohdalová,92.0,127.0,27.559055118110237,22.440944881889763,tvMovie
Momiji Yamamura,88.0,88.0,0.0,50.0,tvMovie
Peter Sattmann,84.0,90.0,6.666666666666667,43.333333333333336,tvMovie
Hannelore Elsner,78.0,134.0,41.7910447761194,8.2089552238806,tvMovie
Ruy de Carvalho,78.0,92.0,15.217391304347828,34.78260869565217,tvMovie
Milos Kopecký,77.0,111.0,30.630630630630627,19.369369369369373,tvMovie
Christine Neubauer,77.0,85.0,9.411764705882353,40.588235294117645,tvMovie
Iva Janzurová,77.0,125.0,38.4,11.600000000000001,tvMovie
Yôko Moriguchi,76.0,80.0,5.0,45.0,tvMovie
Günther Maria Halmer,76.0,91.0,16.483516483516482,33.51648351648352,tvMovie
Tsunehiko Watase,75.0,153.0,50.98039215686274,0.9803921568627416,tvMovie
Herbert Köfer,75.0,78.0,3.8461538461538463,46.15384615384615,tvMovie
Pierre Arditi,74.0,128.0,42.1875,7.8125,tvMovie
Petar Kralj,73.0,86.0,15.11627906976744,34.883720930232556,tvMovie
Friedrich von Thun,73.0,87.0,16.091954022988507,33.9080459770115,tvMovie
Leopold Haverl,72.0,80.0,10.0,40.0,tvMovie
Josef Abrhám,71.0,108.0,34.25925925925926,15.74074074074074,tvMovie
